Organisation,Duty Station,Level,Post Title,Closing Date,Posting Retrieved,Descriptions
UNODC,DAKAR,P-3,"Programme Officer  [Temporary] - Economic, Social and Development, Drug Control and Crime Prevention",2023-02-22,2023-02-10,https://unjoblist.org/r/?451678
UNODC,KUALA LUMPUR,P-2,"Associate Programme Officer (Global Maritime Crime Programme)  - Economic, Social and Development, Drug Control and Crime Prevention",2023-02-22,2023-02-10,https://unjoblist.org/r/?451679
UNEP,KINGSTON,P-4,"PROGRAMME MANAGEMENT OFFICER  - Economic, Social and Development, Programme Management",2023-02-23,2023-01-11,https://unjoblist.org/r/?450118
UNEP,GENEVA,P-3,"PROGRAMME MANAGEMENT OFFICER  - Economic, Social and Development, Programme Management",2023-02-23,2023-01-11,https://unjoblist.org/r/?450119
UN ESCAP,NEW DELHI,P-4,"ECONOMIC AFFAIRS OFFICER  - Economic, Social and Development, Economic Affairs (and Sustainable Development)",2023-02-23,2023-01-11,https://unjoblist.org/r/?450121
UN,BAGHDAD,P-4,"Information Management Officer  - Information and Telecommunication Technology, Information Management Systems and Technology",2023-02-23,2023-01-26,https://unjoblist.org/r/?450845
UN OCHA,BANGKOK,P-4,"Humanitarian Affairs Officer/Head of DPRK HAT  - Political, Peace and Humanitarian, Humanitarian Affairs",2023-02-23,2023-01-26,https://unjoblist.org/r/?450878
WHO,Egypt-Cairo,P2,Technical Officer (Grant Monitoring),2023-02-23,2023-02-02,https://unjoblist.org/r/?451246
WHO,Tajikistan-Dushanbe,NO-B,Project Officer (Data and Digital Health),2023-02-23,2023-02-02,https://unjoblist.org/r/?451247
WHO,Switzerland-Geneva,P3,Technical Officer (Infodemic Management),2023-02-23,2023-02-02,https://unjoblist.org/r/?451248
WHO,Türkiye-Istanbul,P2,Communications Strategy and Social Media Officer (Countries),2023-02-23,2023-02-02,https://unjoblist.org/r/?451249
WHO,Switzerland-Geneva,P4,Evaluation Officer,2023-02-23,2023-02-03,https://unjoblist.org/r/?451321
WHO,Gambia-Banjul,NO-C,Public Health Officer,2023-02-23,2023-02-09,https://unjoblist.org/r/?451571
UNDP,"Beirut, Lebanon",SB3,** Procurement Officer,2023-02-23,2023-02-10,https://unjoblist.org/r/?451640
